#wandb_project=ecg-cifar100-pmax
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	pe_mode	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	0.80	quantile	0.80	15	15	True	c100_q80_k15_lam0p8	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	1.00	quantile	0.80	15	15	True	c100_q80_k15_lam1p0	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	1.20	quantile	0.80	15	15	True	c100_q80_k15_lam1p2	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	1.40	quantile	0.80	15	15	True	c100_q80_k15_lam1p4	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	1.60	quantile	0.80	15	15	True	c100_q80_k15_lam1p6	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	1.80	quantile	0.80	15	15	True	c100_q80_k15_lam1p8	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	2.00	quantile	0.80	15	15	True	c100_q80_k15_lam2p0	lam_only
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.00	2.20	quantile	0.80	15	15	True	c100_q80_k15_lam2p2	lam_only
